,Frequency,Dimension,Robustness
1010111111101111,6.0,7.0,0.5041666666666667
1110000010101010,1.0,9.0,0.4875
1111111101110011,7.0,7.0,0.5821428571428571
0001000011011101,1.0,9.0,0.3125
0000100100001001,1.0,8.0,0.5125
0001000110110010,1.0,13.0,0.3
1111111110101111,18.0,4.0,0.6222222222222223
0011100000111000,1.0,7.0,0.4875
1100111111111111,13.0,4.0,0.6653846153846152
0000000000000000,542.0,0.0,0.8606088560885615
1111111100101111,9.0,7.0,0.5222222222222223
0000000000010101,9.0,7.0,0.5055555555555555
1111111111111111,541.0,0.0,0.8600277264325332
1111111111111101,30.0,5.0,0.6158333333333333
1111111101000111,2.0,8.0,0.49374999999999997
1111111110100100,2.0,9.0,0.3125
1011101110111000,2.0,7.0,0.5375
1000000000001000,2.0,10.0,0.6375
0101110011111100,2.0,7.0,0.5125
0000000001110100,2.0,8.0,0.44375
1010000001010000,1.0,8.0,0.45
1111110100000000,2.0,6.0,0.5375
1110101111111011,3.0,9.0,0.48750000000000004
1111111101001111,3.0,7.0,0.5583333333333333
1011101111110111,2.0,9.0,0.54375
1000100010101010,3.0,5.0,0.5499999999999999
1111001111111111,14.0,4.0,0.6544642857142857
1101011011111110,1.0,14.0,0.1125
0000110010111010,1.0,11.0,0.375
0010000000010000,3.0,10.0,0.5499999999999999
0110000000100000,1.0,11.0,0.45
0101010101000000,3.0,8.0,0.4000000000000001
0011000000010001,1.0,8.0,0.2375
1111111100010001,2.0,5.0,0.45625
0000010000000101,5.0,7.0,0.5825
1111111111111110,35.0,5.0,0.555
1111111110110000,4.0,7.0,0.46562499999999996
0000100011101100,1.0,12.0,0.4625
0101000001010101,5.0,5.0,0.495
1101101111111011,2.0,9.0,0.475
0010001000100011,2.0,8.0,0.46875
0000010000000111,1.0,8.0,0.3875
0000000000000101,20.0,6.0,0.5956249999999998
1111000110101111,1.0,12.0,0.1375
1000000010001000,5.0,7.0,0.6025
1111011111110101,4.0,7.0,0.528125
0000000000111111,4.0,5.0,0.6187499999999999
0111111111111111,26.0,5.0,0.7264423076923078
1000111010101110,1.0,10.0,0.3375
1000000110000101,1.0,13.0,0.525
1111101111110001,2.0,8.0,0.4625
0000000001010000,18.0,6.0,0.6243055555555554
1111111111011111,26.0,5.0,0.6552884615384614
0000010010110000,2.0,13.0,0.4375
1111111010111010,1.0,8.0,0.4
0100010100000000,6.0,7.0,0.5812499999999999
0100110100001100,1.0,11.0,0.475
0011111100010000,1.0,9.0,0.2625
1100110011001101,3.0,6.0,0.4041666666666666
0101010101010101,20.0,2.0,0.6318750000000002
1010000011011100,1.0,11.0,0.3
0000101000001010,10.0,4.0,0.5662499999999999
1110111010101010,6.0,5.0,0.5666666666666668
0000001100010011,3.0,8.0,0.5625
0101110100000111,1.0,14.0,0.2625
1111111110101000,3.0,7.0,0.5125000000000001
0011111110000100,1.0,15.0,0.25
0000010000000011,3.0,11.0,0.3666666666666667
0111001001000010,1.0,10.0,0.4125
1111111111010001,3.0,8.0,0.46249999999999997
1111111111110111,31.0,5.0,0.667741935483871
1111011101010101,3.0,7.0,0.4749999999999999
1111010011110100,4.0,5.0,0.5625
0100000000000000,35.0,8.0,0.704642857142857
1111111101010101,13.0,3.0,0.6038461538461541
0000000001000100,19.0,6.0,0.5848684210526315
1110110010000000,2.0,11.0,0.48124999999999996
1100101111111111,3.0,9.0,0.6
1111001110000000,2.0,9.0,0.3375
0000011001000100,1.0,12.0,0.425
1011111101111111,2.0,10.0,0.6875
1100111101001100,1.0,10.0,0.45
0000111100001111,22.0,2.0,0.6198863636363635
0011001100000011,2.0,5.0,0.51875
0000000000110000,8.0,6.0,0.596875
0000000000100000,28.0,8.0,0.6575892857142855
1000110100000001,1.0,9.0,0.4125
0000000010110000,3.0,7.0,0.4958333333333333
0101110001011000,1.0,10.0,0.4125
0010000011111111,5.0,6.0,0.475
1010111110101001,1.0,12.0,0.45
0111111101111111,18.0,4.0,0.6743055555555555
1111110011110000,5.0,5.0,0.5650000000000001
1100110100001101,1.0,9.0,0.5
1101111111111111,30.0,5.0,0.7016666666666668
0100010001110100,1.0,7.0,0.325
1111011111111111,32.0,5.0,0.6941406250000001
0000111000000010,5.0,8.0,0.4175000000000001
0011000001010000,2.0,8.0,0.55625
0000010011101111,1.0,13.0,0.2375
1111111110111111,25.0,5.0,0.6729999999999998
0100010001010111,1.0,9.0,0.45
1111111101110101,5.0,7.0,0.53
1111111111101111,32.0,5.0,0.6304687499999999
0011111111111111,16.0,4.0,0.6742187499999999
1011101100100011,2.0,10.0,0.45625000000000004
1110111011101110,10.0,3.0,0.5875
1110101011101110,4.0,7.0,0.5375000000000001
0111111111111010,2.0,9.0,0.34375
1010001000111110,1.0,15.0,0.2125
1001101011000000,1.0,17.0,0.3875
0011001000110000,2.0,8.0,0.43125
1110110111111111,3.0,10.0,0.4875
1000000000000000,22.0,8.0,0.7130681818181817
0000000000000001,37.0,8.0,0.5516891891891892
0010000000000000,28.0,8.0,0.6973214285714286
1111000011111111,16.0,3.0,0.6046874999999999
1011101110111111,4.0,7.0,0.5093749999999999
1101111101111111,3.0,10.0,0.5541666666666666
0000000010111011,4.0,5.0,0.509375
0101010001000000,1.0,11.0,0.55
0000001001000000,3.0,10.0,0.3875
0111011111110101,1.0,8.0,0.45
0101011111001111,1.0,9.0,0.4875
0000101000001100,3.0,8.0,0.48333333333333334
0100110000000000,6.0,7.0,0.5166666666666667
1111001000100000,2.0,11.0,0.4375
0100111101001111,5.0,5.0,0.5700000000000001
0011101110111100,1.0,16.0,0.15
1111000011111101,6.0,7.0,0.49166666666666664
1111111110110011,5.0,7.0,0.5225
1100000011000100,1.0,8.0,0.5625
1011000110100000,1.0,7.0,0.35
0000000000001100,21.0,6.0,0.6255952380952381
1111111101111111,33.0,5.0,0.7132575757575754
1111111000111111,4.0,9.0,0.39375
0000011100000111,2.0,5.0,0.34375
0111111111000101,1.0,13.0,0.3125
1111111100111011,7.0,7.0,0.5857142857142856
0101100000110000,1.0,13.0,0.4875
0101000000110000,1.0,8.0,0.6125
0000000011010000,3.0,7.0,0.5
1100101111001111,1.0,8.0,0.4125
0011101111111111,8.0,7.0,0.5921875
1100010011100100,2.0,9.0,0.35
0010101011111111,1.0,7.0,0.45
1111111100000111,3.0,7.0,0.525
1111101011101010,2.0,7.0,0.48125
0000010000000100,16.0,6.0,0.6445312500000001
1010000000000000,18.0,6.0,0.6694444444444446
0111000000110001,1.0,12.0,0.425
0000111100000100,4.0,8.0,0.459375
1000101100000000,3.0,8.0,0.35833333333333334
1000000011111111,2.0,6.0,0.56875
0101001100000000,3.0,8.0,0.43333333333333335
0010111100011111,1.0,10.0,0.4125
1110111010001000,1.0,9.0,0.4375
0100010000000100,5.0,7.0,0.595
1110111011101111,5.0,7.0,0.5125
1111111111110011,13.0,4.0,0.6586538461538461
0000000011110000,13.0,4.0,0.6480769230769231
0011000001110011,1.0,10.0,0.3875
0000101101010111,1.0,10.0,0.4
1100110011001100,21.0,2.0,0.6202380952380951
1111100011001100,1.0,9.0,0.35
0001000100000000,16.0,6.0,0.5914062499999999
1000100010100000,1.0,8.0,0.6
1111101011111010,13.0,3.0,0.5384615384615385
0000000000010011,4.0,7.0,0.5249999999999999
1110000011000000,1.0,8.0,0.4
1111111111111011,35.0,5.0,0.6182142857142858
1101000000000000,3.0,7.0,0.6416666666666667
1100000101000001,1.0,12.0,0.3
1111111011001110,2.0,8.0,0.50625
1100000000000000,21.0,6.0,0.6696428571428571
0100010100000101,6.0,8.0,0.5020833333333333
1011000010100011,1.0,11.0,0.2
0100010101010001,1.0,10.0,0.5375
0010001000000010,7.0,7.0,0.5714285714285714
0001000100010101,6.0,8.0,0.4958333333333333
1010101010110101,1.0,11.0,0.225
1011001010101010,1.0,13.0,0.4625
0101000010001100,1.0,13.0,0.2875
0000000010111010,3.0,8.0,0.5041666666666667
1110111011111111,19.0,4.0,0.6144736842105264
1111110011111111,13.0,4.0,0.6336538461538462
0000111100001010,6.0,5.0,0.5187499999999999
0110010101110111,1.0,12.0,0.325
